130.0,-102.411,235.3226,113.0069,0.0,0.0,0.0,0.2836,0.1219,-0.0852,0.0,1.0
130.0,-102.411,235.3226,113.0069,0.0,0.0,0.0,0.2811,0.1162,-0.0907,0.0,1.0
130.0,-102.411,235.3226,113.0069,0.0,0.0,0.0,0.2781,0.1107,-0.0958,0.0,1.0
130.0,-102.4124,235.3211,112.9964,-0.0014,-0.00149999999999,-0.0105,0.2738,0.1037,-0.0989,0.0,1.0
130.0,-102.4137,235.3196,112.9865,-0.0027,-0.00299999999999,-0.0204,0.2671,0.1006,-0.101,0.0,1.0
130.0,-102.4148,235.3182,112.9773,-0.0038,-0.0044,-0.0296,0.2659,0.0965,-0.102,0.0,1.0
130.0,-102.4159,235.3169,112.9688,-0.00489999999999,-0.00569999999999,-0.0381,0.26,0.0944,-0.1044,0.0,1.0
130.0,-102.4168,235.3157,112.9613,-0.00579999999999,-0.0069,-0.0456,0.2575,0.0917,-0.108,0.0,1.0
130.0,-102.4176,235.3147,112.9548,-0.00659999999999,-0.00790000000001,-0.0521,0.2575,0.0884,-0.1113,0.0,1.0
130.0,-102.4183,235.3138,112.9491,-0.0073,-0.00880000000001,-0.0578,0.2597,0.0836,-0.1149,0.0,1.0
130.0,-102.4189,235.313,112.9438,-0.00789999999999,-0.00960000000001,-0.0631,0.2601,0.083,-0.1188,0.0,1.0
130.0,-102.4195,235.3121,112.9385,-0.0085,-0.0105,-0.0684,0.2621,0.0795,-0.1215,0.0,1.0
130.0,-102.4202,235.3112,112.933,-0.00919999999999,-0.0114,-0.0739,0.2669,0.0777,-0.1252,0.0,1.0
130.0,-102.4208,235.3103,112.9272,-0.0098,-0.0123,-0.0797,0.2671,0.0754,-0.1297,0.0,1.0
130.0,-102.4216,235.3092,112.9209,-0.0106,-0.0134,-0.086,0.2669,0.074,-0.1323,0.0,1.0
130.0,-102.4224,235.308,112.9137,-0.0114,-0.0146,-0.0932,0.2669,0.0716,-0.1347,0.0,1.0
130.0,-102.4233,235.3066,112.9056,-0.0123,-0.016,-0.1013,0.2678,0.0693,-0.1386,0.0,1.0
130.0,-102.4243,235.305,112.8964,-0.0133,-0.0176,-0.1105,0.266,0.068,-0.1422,0.0,1.0
130.0,-102.4255,235.3033,112.8863,-0.0145,-0.0193,-0.1206,0.2638,0.068,-0.1458,0.0,1.0
130.0,-102.4268,235.3012,112.8747,-0.0158,-0.0214,-0.1322,0.2634,0.0675,-0.1486,0.0,1.0
130.0,-102.4282,235.2989,112.8618,-0.0172,-0.0237,-0.1451,0.2664,0.0649,-0.1522,0.0,1.0
130.0,-102.4297,235.2963,112.847,-0.0187,-0.0263,-0.1599,0.2679,0.0614,-0.1558,0.0,1.0
130.0,-102.4316,235.2931,112.8291,-0.0206,-0.0295,-0.1778,0.2698,0.0585,-0.1586,0.0,1.0
